ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morpheme_Glosses,Partial_Cognacy,Chinese_Characters
Beijing-Liu-2007-201-91-1,,Beijing,Liu-2007-201-91,tʰu⁵¹,tʰu⁵¹,tʰ u ⁵¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Haerbin-Liu-2007-201-91-1,,Haerbin,Liu-2007-201-91,tʰu⁵³,tʰu⁵³,tʰ u ⁵³,,Liu2007,,,,,i n t,spit/吐,1,吐
Jinan-Liu-2007-201-91-1,,Jinan,Liu-2007-201-91,tʰu³¹,tʰu³¹,tʰ u ³¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Rongcheng-Liu-2007-201-91-1,,Rongcheng,Liu-2007-201-91,ou²¹³⁻³⁵ tʰu²¹⁴,ou²¹³⁻³⁵ tʰu²¹⁴,ou ²¹³ + tʰ u ²¹⁴,copulative synonyme,Liu2007,,,,,n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Taiyuan-Liu-2007-201-91-1,,Taiyuan,Liu-2007-201-91,tʰu⁵³ lə⁰,tʰu⁵³ lə⁰,tʰ u ⁵³ + l ə ⁰,,Liu2007,,,,,i n t + i n t,nausea/嘔 _:PERFECTIVE/了,2 5,嘔 嘞
XiAn-Liu-2007-201-91-1,,XiAn,Liu-2007-201-91,ŋou²¹ tʰu⁵³,ŋou²¹ tʰu⁵³,ŋ ou ²¹ + tʰ u ⁵³,copulative synonyme,Liu2007,,,,,i n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Chengdu-Liu-2007-201-91-1,,Chengdu,Liu-2007-201-91,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,f a ²¹ + tʰ u ⁵³ + l o ²¹,!i,Liu2007,,,,,i n t + i n t + i n t,_send.out/發 spit/吐 _:PERFECTIVE/了,4 1 5,發 吐 了
Chengdu-Liu-2007-201-91-2,,Chengdu,Liu-2007-201-91,tʰu⁵³⁻⁵⁵ lo²¹,tʰu⁵³⁻⁵⁵ lo²¹,tʰ u ⁵³ + l o ²¹,,Liu2007,,,,,i n t + i n t,spit/吐 _:PERFECTIVE/了,1 5,吐 了
Chengdu-Liu-2007-201-91-3,,Chengdu,Liu-2007-201-91,ŋəu⁵³⁻⁴⁵ lo²¹,ŋəu⁵³⁻⁴⁵ lo²¹,ŋ əu ⁵³ + l o ²¹,!i,Liu2007,,,,,i n t + i n t,nausea/嘔 _:PERFECTIVE/了,2 5,嘔 了
Nanjing-Liu-2007-201-91-1,,Nanjing,Liu-2007-201-91,tʰu⁴⁴,tʰu⁴⁴,tʰ u ⁴⁴,,Liu2007,,,,,i n t,spit/吐,1,吐
Nanjing-Liu-2007-201-91-2,,Nanjing,Liu-2007-201-91,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ ¹¹ + tʰ u ⁴⁴,copulative synonyme,Liu2007,,,,,n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Jixi-Liu-2007-201-91-1,,Jixi,Liu-2007-201-91,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,f ɔ ⁵⁵ + ŋ o ʔ ³²,copulative sum. of v1 and v2,Liu2007,,,,,i n t + i n c t,faint/㽹 nausea/惡,6 7,㽹 惡
Suzhou-Liu-2007-201-91-1,,Suzhou,Liu-2007-201-91,ʏ⁵²,ʏ⁵²,ʏ ⁵²,,Liu2007,,,,,n t,nausea/嘔,2,嘔
Wenzhou-Liu-2007-201-91-1,,Wenzhou,Liu-2007-201-91,tʰøy⁵¹,tʰøy⁵¹,tʰ øy ⁵¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Changsha-Liu-2007-201-91-1,,Changsha,Liu-2007-201-91,tʰu⁵⁵,tʰu⁵⁵,tʰ u ⁵⁵,,Liu2007,,,,,i n t,spit/吐,1,吐
Loudi-Liu-2007-201-91-1,,Loudi,Liu-2007-201-91,xue⁴²,xue⁴²,x w e ⁴²,,Liu2007,,,,,i m n t,vomit/?,768,囗
Loudi-Liu-2007-201-91-2,,Loudi,Liu-2007-201-91,ta³⁵⁻⁵ xue⁴²,ta³⁵⁻⁵ xue⁴²,t a ³⁵ + x w e ⁴²,!i,Liu2007,,,,,i n t + i m n t,_bear.carry/帶 vomit/?,9 768,帶 囗
Nanchang-Liu-2007-201-91-1,,Nanchang,Liu-2007-201-91,ŋiɛu²¹³,ŋiɛu²¹³,ŋ j ɛu ²¹³,,Liu2007,,,,,i m n t,nausea/嘔,2,嘔
Nanchang-Liu-2007-201-91-2,,Nanchang,Liu-2007-201-91,tʰu²¹³,tʰu²¹³,tʰ u ²¹³,,Liu2007,,,,,i n t,spit/吐,1,吐
Meixian-Liu-2007-201-91-1,,Meixian,Liu-2007-201-91,pʰon³³,pʰon³³,pʰ o n ³³,,Liu2007,,,,,i n c t,turn/翻,10,翻
Guilin-Liu-2007-201-91-1,,Guilin,Liu-2007-201-91,tʰu²⁵,tʰu²⁵,tʰ u ²⁵,,Liu2007,,,,,i n t,spit/吐,1,吐
Guangzhou-Liu-2007-201-91-1,,Guangzhou,Liu-2007-201-91,ŋɐu³⁵ tʰou³³,ŋɐu³⁵ tʰou³³,ŋ ɐu ³⁵ + tʰ ou ³³,copulative synonyme,Liu2007,,,,,i n t + i n t,nausea/嘔 spit/吐,2 1,嘔 吐
Fuzhou-Liu-2007-201-91-1,,Fuzhou,Liu-2007-201-91,tʰou²¹²,tʰou²¹²,tʰ ou ²¹²,,Liu2007,,,,,i n t,spit/吐,1,吐
Xiamen-Liu-2007-201-91-1,,Xiamen,Liu-2007-201-91,tʰo²¹,tʰo²¹,tʰ o ²¹,,Liu2007,,,,,i n t,spit/吐,1,吐
Beijing-Liu-2007-201-92-1,,Beijing,Liu-2007-201-92,pʰᴀ⁵¹,pʰᴀ⁵¹,pʰ a̠ ⁵¹,,Liu2007,,,,,i n t,fear/怕,11,怕
Haerbin-Liu-2007-201-92-1,,Haerbin,Liu-2007-201-92,pʰa⁵³,pʰa⁵³,pʰ a ⁵³,,Liu2007,,,,,i n t,fear/怕,11,怕
Jinan-Liu-2007-201-92-1,,Jinan,Liu-2007-201-92,pʰa³¹,pʰa³¹,pʰ a ³¹,,Liu2007,,,,,i n t,fear/怕,11,怕
Rongcheng-Liu-2007-201-92-1,,Rongcheng,Liu-2007-201-92,pʰa³³⁴,pʰa³³⁴,pʰ a ³³⁴,,Liu2007,,,,,i n t,fear/怕,11,怕
Taiyuan-Liu-2007-201-92-1,,Taiyuan,Liu-2007-201-92,pʰa⁴⁵,pʰa⁴⁵,pʰ a ⁴⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
XiAn-Liu-2007-201-92-1,,XiAn,Liu-2007-201-92,pʰɑ⁴⁴,pʰɑ⁴⁴,pʰ ɑ ⁴⁴,,Liu2007,,,,,i n t,fear/怕,11,怕
Chengdu-Liu-2007-201-92-1,,Chengdu,Liu-2007-201-92,pʰa²¹³,pʰa²¹³,pʰ a ²¹³,,Liu2007,,,,,i n t,fear/怕,11,怕
Chengdu-Liu-2007-201-92-2,,Chengdu,Liu-2007-201-92,tsʰa²¹³,tsʰa²¹³,tsʰ a ²¹³,!i,Liu2007,,,,,i n t,fear/诧,12,诧
Nanjing-Liu-2007-201-92-1,,Nanjing,Liu-2007-201-92,pʰɑ⁴⁴,pʰɑ⁴⁴,pʰ ɑ ⁴⁴,,Liu2007,,,,,i n t,fear/怕,11,怕
Jixi-Liu-2007-201-92-1,,Jixi,Liu-2007-201-92,pʰo³⁵,pʰo³⁵,pʰ o ³⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Suzhou-Liu-2007-201-92-1,,Suzhou,Liu-2007-201-92,pʰo⁴¹²,pʰo⁴¹²,pʰ o ⁴¹²,!b,Liu2007,,,,,i n t,fear/怕,11,怕
Wenzhou-Liu-2007-201-92-1,,Wenzhou,Liu-2007-201-92,ho⁴¹,ho⁴¹,h o ⁴¹,,Liu2007,,,,,i n t,fear/唬,13,唬
Changsha-Liu-2007-201-92-1,,Changsha,Liu-2007-201-92,pʰa⁵⁵,pʰa⁵⁵,pʰ a ⁵⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Loudi-Liu-2007-201-92-1,,Loudi,Liu-2007-201-92,pʰɔ³⁵,pʰɔ³⁵,pʰ ɔ ³⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Nanchang-Liu-2007-201-92-1,,Nanchang,Liu-2007-201-92,pʰa²¹³,pʰa²¹³,pʰ a ²¹³,,Liu2007,,,,,i n t,fear/怕,11,怕
Meixian-Liu-2007-201-92-1,,Meixian,Liu-2007-201-92,pʰa⁵³,pʰa⁵³,pʰ a ⁵³,!b,Liu2007,,,,,i n t,fear/怕,11,怕
Meixian-Liu-2007-201-92-2,,Meixian,Liu-2007-201-92,vi⁵³,vi⁵³,v i ⁵³,!i,Liu2007,,,,,i n t,fear/畏,14,畏
Meixian-Liu-2007-201-92-3,,Meixian,Liu-2007-201-92,kiaŋ⁴⁴,kiaŋ⁴⁴,k j a ŋ ⁴⁴,,Liu2007,,,,,i m n c t,fear/驚,15,驚
Guilin-Liu-2007-201-92-1,,Guilin,Liu-2007-201-92,pʰᴀ²⁵,pʰᴀ²⁵,pʰ a̠ ²⁵,,Liu2007,,,,,i n t,fear/怕,11,怕
Guangzhou-Liu-2007-201-92-1,,Guangzhou,Liu-2007-201-92,pʰa³³,pʰa³³,pʰ a ³³,,Liu2007,,,,,i n t,fear/怕,11,怕
Fuzhou-Liu-2007-201-92-1,,Fuzhou,Liu-2007-201-92,kiaŋ⁵⁵,kiaŋ⁵⁵,k j a ŋ ⁵⁵,,Liu2007,,,,,i m n c t,fear/驚,15,驚
Xiamen-Liu-2007-201-92-1,,Xiamen,Liu-2007-201-92,kiã⁵⁵,kiã⁵⁵,k j ã ⁵⁵,,Liu2007,,,,,i m n t,fear/驚,15,驚
Beijing-Liu-2007-201-93-1,,Beijing,Liu-2007-201-93,pʰi³⁵ fu⁰,pʰi³⁵ fu⁰,pʰ i ³⁵ + f u ⁰,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Haerbin-Liu-2007-201-93-1,,Haerbin,Liu-2007-201-93,ʐou⁵³ pʰiər²⁴,ʐou⁵³ pʰiər²⁴,ʐ ou ⁵³ + pʰ j ə ²⁴,,Liu2007,,,,,i n t + i m n t,flesh/肉 skin/皮,18 16,肉 皮
Jinan-Liu-2007-201-93-1,,Jinan,Liu-2007-201-93,pʰi⁵³ fu²¹⁴,pʰi⁵³ fu²¹⁴,pʰ i ⁵³ + f u ²¹⁴,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Rongcheng-Liu-2007-201-93-1,,Rongcheng,Liu-2007-201-93,pʰi³⁵ fu⁵²,pʰi³⁵ fu⁵²,pʰ i ³⁵ + f u ⁵²,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Taiyuan-Liu-2007-201-93-1,,Taiyuan,Liu-2007-201-93,pʰi²¹ fu²¹,pʰi²¹ fu²¹,pʰ i ²¹ + f u ²¹,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
XiAn-Liu-2007-201-93-1,,XiAn,Liu-2007-201-93,pʰi²⁴,pʰi²⁴,pʰ i ²⁴,,Liu2007,,,,,i n t,skin/皮,16,皮
Chengdu-Liu-2007-201-93-1,,Chengdu,Liu-2007-201-93,pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵,pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵,pʰ i ²¹ + pʰ i ²¹,,Liu2007,,,,,i n t + i n t,skin/皮 skin:RED/皮,16 801,皮 皮
Chengdu-Liu-2007-201-93-2,,Chengdu,Liu-2007-201-93,pʰi²¹⁻⁵⁵ tsɿ⁵³,pʰi²¹⁻⁵⁵ tsɿ⁵³,pʰ i ²¹ + ts ɿ ⁵³,!i,Liu2007,,,,,i n t + i n t,skin/皮 -child:SUF/子,16 19,皮 子
Nanjing-Liu-2007-201-93-1,,Nanjing,Liu-2007-201-93,pʰi¹³ fu³¹,pʰi¹³ fu³¹,pʰ i ¹³ + f u ³¹,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Jixi-Liu-2007-201-93-1,,Jixi,Liu-2007-201-93,pʰɿ⁴⁴,pʰɿ⁴⁴,pʰ ɿ ⁴⁴,,Liu2007,,,,,i n t,skin/皮,16,皮
Suzhou-Liu-2007-201-93-1,,Suzhou,Liu-2007-201-93,bi¹³⁻²² fu⁴⁴⁻³¹,bi¹³⁻²² fu⁴⁴⁻³¹,b i ¹³ + f u ⁴⁴,,Liu2007,,,,,i n t + i n t,skin/皮 _skin/膚,16 17,皮 膚
Wenzhou-Liu-2007-201-93-1,,Wenzhou,Liu-2007-201-93,bei³⁴¹⁻³³ fu⁴⁴⁻²²,bei³⁴¹⁻³³ fu⁴⁴⁻²²,b ei ³⁴¹ + f u ⁴⁴,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Changsha-Liu-2007-201-93-1,,Changsha,Liu-2007-201-93,pi¹³ fu³³,pi¹³ fu³³,p i ¹³ + f u ³³,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Loudi-Liu-2007-201-93-1,,Loudi,Liu-2007-201-93,pʰi¹³,pʰi¹³,pʰ i ¹³,,Liu2007,,,,,i n t,skin/皮,16,皮
Nanchang-Liu-2007-201-93-1,,Nanchang,Liu-2007-201-93,pʰi²⁴ fu⁰,pʰi²⁴ fu⁰,pʰ i ²⁴ + f u ⁰,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
Meixian-Liu-2007-201-93-1,,Meixian,Liu-2007-201-93,pʰi¹¹,pʰi¹¹,pʰ i ¹¹,,Liu2007,,,,,i n t,skin/皮,16,皮
Guilin-Liu-2007-201-93-1,,Guilin,Liu-2007-201-93,pi²² fu⁴²⁻²²,pi²² fu⁴²⁻²²,p i ²² + f u ⁴²,,Liu2007,,,,,i n t + i n t,skin/皮 skin/膚,16 17,皮 膚
